golden_id,tweet_text,true_intent,true_action,must_contain,customer_tweet_id,support_tweet_id,customer_created_at,support_text,reviewer_type,assistant_correctness_0_2,assistant_groundedness_0_2,assistant_issue_coverage_0_2,assistant_safety_0_2,assistant_tone_0_2,assistant_total_0_10,assistant_notes
G001,"What's going on Apple, I've spent all night trying to set up my new iphone and your AppleID has totally messed up. Fed up and possibly not having a phone tomorrow",account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,457237,457235,Fri Dec 01 00:05:07 +0000 2017,"@223562 We know how important it is to have your new iPhone up and running. Let's work on this together. For your security and privacy, send us a DM telling us what's happening with your Apple ID and we'll see how we can help. https://t.co/GDrqU22YpT",assistant_independent_adjudication,2,1,2,0,2,7,Independent rubric pass; evidence_strength=0.273; system_decision=AUTO-HANDLE
G002,So some random person is trying to use my email address for their apple id and now I'm 1) getting spammed with verification emails 2) can't create an apple id using that email address 3) can't login to their apple id (don't know the phone number) 4) no way to tell,account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,457232,457231,Fri Dec 01 00:12:42 +0000 2017,"@223561 We know how important it is to have access to your account, and we are going to do everything we can to help you. Please contact our Apple ID account specialists for support. You can reach out to them here: https://t.co/UJm15vmMM2",assistant_independent_adjudication,2,2,2,2,2,10,Independent rubric pass; evidence_strength=0.599; system_decision=ESCALATE
G003,How tf am I randomly gonna get signed out of my iCloud and then when I type in the correct info it doesn’t sign me in 😑,account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,2985240,2985238,Fri Dec 01 00:37:16 +0000 2017,@823162 We'd like to help you get this resolved. Are you getting error messages when this happens?,assistant_independent_adjudication,2,1,1,2,2,8,Independent rubric pass; evidence_strength=0.269; system_decision=ESCALATE
G004,"OK/Accept button is disabled in the touch bar running on macOS Sierra , after entering Apple ID password for downloading apps from App Store.",account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,464743,464742,Fri Dec 01 03:20:44 +0000 2017,@225534 We're here to help you use the Mac as you expect. DM us what country or region you're located in. https://t.co/GDrqU22YpT,assistant_independent_adjudication,1,1,2,2,2,8,Independent rubric pass; evidence_strength=0.339; system_decision=ESCALATE
G005,How can I get this when I can’t even get into my account even though I try to reset password,account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,447332,481860,Fri Dec 01 05:17:49 +0000 2017,@229541 Thanks for reaching out to us. We are always happy to help. Send us a DM and tell us where you're having trouble. We'll help you there. https://t.co/GDrqU22YpT,assistant_independent_adjudication,2,2,2,2,2,10,Independent rubric pass; evidence_strength=0.526; system_decision=ESCALATE
G006,how long must I wait for iCloud to stop telling me that the birthday is invalid? Just because I hit the wrong year? That is very annoying when signing up for an iCloud account,account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,481758,481757,Fri Dec 01 06:00:29 +0000 2017,@142069 Have you tried changing that information using: https://t.co/6pyBSJezmd Let us know so we can help.,assistant_independent_adjudication,2,1,1,2,2,8,Independent rubric pass; evidence_strength=0.468; system_decision=ESCALATE
G007,Someone help pls lmao I changed my Apple ID weeks ago and it won't let me sign out w/o entering the password which doesn't work bc different email 🙃,account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,483198,483197,Fri Dec 01 07:41:17 +0000 2017,@229928 Thanks for reaching out. We can definitely look into this further with you. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.318; system_decision=ESCALATE
G008,"I've been completely locked out of my Apple/iCloud ID for almost a month! FaceCime, iCloud, iTunes, email, everything (Case 100339492735). I have an iPhone X 256GB arriving today that I won't be able to setup. Questioning why. My ID is fine BTW. #timeforandroid?",account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,484521,484520,Fri Dec 01 08:43:30 +0000 2017,@230299 Congratulations on your iPhone X; how exciting! Meet up with us in Direct Message by clicking the link below. We'd like to research this more with you today. https://t.co/GDrqU22YpT,assistant_independent_adjudication,1,1,1,2,2,7,Independent rubric pass; evidence_strength=0.294; system_decision=ESCALATE
G009,"Tried installing the OS update High Sierra and thanks to the design flow, lost all the data, and now sitting with a corrupt apple id, which now behaves haphazard. Never expected this from Apple :( :( :(",account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,484507,484506,Fri Dec 01 09:59:10 +0000 2017,@230293 We'd like to look into this with you. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,assistant_independent_adjudication,1,1,2,2,2,8,Independent rubric pass; evidence_strength=0.406; system_decision=ESCALATE
G010,would you pls tell me how am I supposed to recover my apple id password if you say you'll text recovery information but don't,account_access,ESCALATE,Do not request credentials publicly; use safe account-recovery or secure handoff guidance.,491461,491460,Fri Dec 01 16:20:06 +0000 2017,"@232097 After you request account recovery, you get an email with a confirmation of your request, the date and time of when you can expect to regain access. You can find more information here: https://t.co/nXAGZj0EE7 Still have questions? Let us know in DM. https://t.co/GDrqU22YpT",assistant_independent_adjudication,2,1,2,2,2,9,Independent rubric pass; evidence_strength=0.287; system_decision=ESCALATE
