golden_id,tweet_text,true_intent,true_action,human_correctness_0_2,human_groundedness_0_2,human_issue_coverage_0_2,human_safety_0_2,human_tone_0_2,human_total_0_10,human_notes
G001,"What's going on Apple, I've spent all night trying to set up my new iphone and your AppleID has totally messed up. Fed up and possibly not having a phone tomorrow",account_access,ESCALATE,2,1,2,0,2,7,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial. Safety deduction: the system chose ESCALATE while the reviewed action is ESCALATE."
G002,So some random person is trying to use my email address for their apple id and now I'm 1) getting spammed with verification emails 2) can't create an apple id using that email address 3) can't login to their apple id (don't know the phone number) 4) no way to tell,account_access,ESCALATE,2,2,2,2,2,10,Candidate-reviewed row. Reply matches the reviewed intent/action expectation and avoids unsupported claims or sensitive-data requests.
G003,How tf am I randomly gonna get signed out of my iCloud and then when I type in the correct info it doesn’t sign me in 😑,account_access,ESCALATE,2,1,1,2,2,8,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial. The reply addresses only part of the customer's stated problem or stays too generic."
G004,"OK/Accept button is disabled in the touch bar running on macOS Sierra , after entering Apple ID password for downloading apps from App Store.",account_access,ESCALATE,1,1,2,2,2,8,"Candidate-reviewed row. Predicted intent was apps_appstore while the reviewed label is account_access. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G005,How can I get this when I can’t even get into my account even though I try to reset password,account_access,ESCALATE,2,2,2,2,2,10,Candidate-reviewed row. Reply matches the reviewed intent/action expectation and avoids unsupported claims or sensitive-data requests.
G006,how long must I wait for iCloud to stop telling me that the birthday is invalid? Just because I hit the wrong year? That is very annoying when signing up for an iCloud account,account_access,ESCALATE,2,1,1,2,2,8,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial. The reply addresses only part of the customer's stated problem or stays too generic."
G007,Someone help pls lmao I changed my Apple ID weeks ago and it won't let me sign out w/o entering the password which doesn't work bc different email 🙃,account_access,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G008,"I've been completely locked out of my Apple/iCloud ID for almost a month! FaceCime, iCloud, iTunes, email, everything (Case 100339492735). I have an iPhone X 256GB arriving today that I won't be able to setup. Questioning why. My ID is fine BTW. #timeforandroid?",account_access,ESCALATE,1,1,1,2,2,7,"Candidate-reviewed row. Predicted intent was other_services while the reviewed label is account_access. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial. The reply addresses only part of the customer's stated problem or stays too generic."
G009,"Tried installing the OS update High Sierra and thanks to the design flow, lost all the data, and now sitting with a corrupt apple id, which now behaves haphazard. Never expected this from Apple :( :( :(",account_access,ESCALATE,1,1,2,2,2,8,"Candidate-reviewed row. Predicted intent was software_update while the reviewed label is account_access. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
G010,would you pls tell me how am I supposed to recover my apple id password if you say you'll text recovery information but don't,account_access,ESCALATE,2,1,2,2,2,9,"Candidate-reviewed row. The deterministic reply is template-based; it does not cite a concrete historical resolution, so grounding is partial."
