customer_tweet_id,support_tweet_id,customer_created_at,customer_text,support_text,customer_parent_id,word_count
2814551,2814550,Mon Nov 27 02:23:32 +0000 2017,@AppleSupport curious if this is a legit message? I only received it on one website and can go to others as normal! Thanks! https://t.co/9Q6PC1Qy4u,@784687 We're happy to help! This alert is not from Apple. You can review our guide here for some helpful tips: https://t.co/qr0pQg1RQb,,24
1195862,1195861,Wed Oct 25 02:06:11 +0000 2017,"If my wifi continues to drop like this, I’m switching to Android. I’m over my monthly cap and I didn’t even know it! 😡 @AppleSupport",@400987 Thanks for contacting us about your Wi-Fi. We'd be happy to look into this with you. Please meet us in DM. https://t.co/GDrqU2kzhr,,25
2058610,2058609,Sat Oct 07 02:05:32 +0000 2017,@AppleSupport how do i turn off auto-brightness in IOS 11.0.2. It used to be in the settings but it’s not there anymore. Thanks,"@608856 Let's help. To change this, check: Settings &gt; General &gt; Accessibility &gt; Display Accommodations but DM any further concerns. https://t.co/GDrqU22YpT",,23
435838,435837,Tue Oct 10 15:39:10 +0000 2017,My Apple Music app won’t work it just keeps crashing since the update but I’m still getting charged ? Wtf @AppleSupport,@218528 We've sent a DM look out for that and follow up there!,,21
426707,426706,Tue Oct 10 03:52:35 +0000 2017,@AppleSupport Some people are having this problem why isn't my phone notifying me when I get a message? It'll notify me minutes later,"@216480 We're here to help. To start, what device model and software version are you using?",,23
1953063,1953062,Sun Oct 29 16:26:54 +0000 2017,"@ATT @AppleSupport having problems with my iPhone, always freezing, always restarting itself, shutting off. Help please!!!",@356534 We'll be happy to help in any way we can. Does the freezing and restarting happen when you are using a particular app?,,16
857097,857096,Fri Oct 13 09:19:32 +0000 2017,@323529 @115858 my iphone 7 is not charging more then 10% 😳,@323528 This is not the experience we want you to have. Which iOS version are you using?,857098.0,12
1679950,1679949,Mon Nov 06 12:59:35 +0000 2017,@AppleSupport fix this “A ?” Text error man,@376183 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,8
990332,990331,Thu Oct 12 00:08:16 +0000 2017,"I spent months avoiding the iOS update, finally did it and now my iPhone is glitchy AF. I fucking hate you @115858",@354584 We'd like to work with you. DM us the iOS version you're using to get started. https://t.co/GDrqU22YpT,,22
391723,391725,Mon Oct 09 16:28:01 +0000 2017,"@AppleSupport Messages app is fine, but I’m not being notified for @4305 messages.","@208751 Thanks for letting us know, have you tried to configure notifications again? Let us know what happens https://t.co/2txgOv5s2M",391722.0,13
332502,332504,Sat Oct 07 19:38:14 +0000 2017,@AppleSupport Version 11.0.2 Unexpecteded battery drain overnight and during the day within 6hrs from 99 to 30. Only used waze for 40mins.,@195174 Let's dive a bit deeper into this. Please DM us and we can go from there.,332501.0,22
1247825,1247827,Thu Oct 26 01:42:53 +0000 2017,"@AppleSupport My volume + lock buttons won’t work, apps crashing, phone freezing so I’m forced to reboot 3-4 times a day, FaceTime malfunctions",@412766 Thank you. Please send us a DM and we will take it from there. https://t.co/GDrqU22YpT,1247824.0,23
2033122,2033121,Tue Nov 07 14:09:04 +0000 2017,Update didn’t fix email issues! Cmon @115858,@601186 Thanks for reaching out. Could you let us know more details about your situation via a DM? We’ll move from there. https://t.co/GDrqU22YpT,,7
2780614,2780613,Tue Nov 21 16:39:25 +0000 2017,"@115858 can you please start making good quality phones 😡, it sucks you know, coz i have lost my data, i lost my job opportunity and still not able to login because the mobile number i have registered i change and can't pass the 2step verification.","@754064 We understand needing access to your account. It's important to always keep your info up-to-date. If you no longer have access to a trusted device or phone number and are using two-factor authentication, you'll want to enter account recovery: https://t.co/nXAGZj0EE7",,46
546550,546548,Sat Dec 02 10:29:06 +0000 2017,@AppleSupport i think my battery is not giving enough backup. What can i do?,@150731 We'd like to help. Which device and software version are you using? Can you tell us more about the issue?,,14
602378,602377,Sun Dec 03 21:47:41 +0000 2017,@AppleSupport my iPad mini charges to 100% then I unplug it and use it for 30 seconds and it shuts down and says it has no battery,"@262989 We'd love to help with your iPad mini! Please send us a DM, and we'll investigate this together. https://t.co/GDrqU22YpT",,27
43367,43366,Wed Nov 01 15:12:04 +0000 2017,@AppleSupport Can’t change the Apple ID to @798.com Website stills shows it is not possible. I used this document: https://t.co/5tVOJEnCkg,@125614 Thanks for reaching out! Our Account Security team is best suited to help you. You can reach them here: https://t.co/UJm15vmMM2,,20
2004241,2004240,Wed Oct 18 13:28:08 +0000 2017,"@AppleSupport Hi, I'm trying to connect to icloud using cellular data on an iPhone 8 with IOS 11.0.3 and it's working only with WiFi.",@592677 Having access to your iCloud data is important! Let us know what happens when accessing iCloud over cellular in DM so we can help. https://t.co/GDrqU22YpT,,24
35343,35345,Wed Nov 01 14:36:52 +0000 2017,"@AppleSupport Thanks for getting back to me. I have Windows 10 &amp; the latest version of iTunes, which updated this morning just before I did the sync.",@123704 Thanks for letting us know. Check out this article for troubleshooting: https://t.co/czNgyf4Rgl DM us if the issue persists. https://t.co/GDrqU22YpT,35342.0,27
2036126,2036125,Mon Nov 06 21:00:48 +0000 2017,Has anyone else had this problem?? (ALSO no apps will download/update... just keeps spinning) @115858 https://t.co/Mq7i9RrXSJ,"@601975 We're here for you, let's team up in DM &amp; get your iPhone updated. Does restarting change anything? https://t.co/OWRDHWSt4h https://t.co/GDrqU22YpT",,16
